month,day_of_month,hour,lozaradiante_zonanorth_heating_rate,lozaradiante_zonasouth_heating_rate,lozaradiante_zonaeast_heating_rate,lozaradiante_zonawest_heating_rate,outdoor_temperature,outdoor_humidity,north_perimeter_air_temperature,south_perimeter_air_temperature,east_perimeter_air_temperature,west_perimeter_air_temperature,north_perimeter_air_humidity,south_perimeter_air_humidity,east_perimeter_air_humidity,west_perimeter_air_humidity,heat_pump_power,total_electricity_HVAC
1.0,21.0,0.0,5493.65673828125,5641.453125,3643.22900390625,3643.237060546875,23.115999221801758,69.85529327392578,24.887374877929688,24.209272384643555,25.475683212280273,25.475679397583008,100.0,65.43475341796875,60.66847610473633,60.668495178222656,1436.197021484375,5170309.5
1.0,21.0,1.0,0.0,0.0,0.0,0.0,22.743999481201172,71.44336700439453,24.791364669799805,24.10924530029297,25.356721878051758,25.356719970703125,100.0,65.82649230957031,61.09483337402344,61.09484100341797,0.0,0.0
1.0,21.0,2.0,982.2896118164062,0.0,0.0,0.0,22.46500015258789,72.66118621826172,24.617631912231445,23.88229751586914,25.082551956176758,25.082550048828125,100.0,66.72783660888672,62.09597396850586,62.095977783203125,0.0,0.0
1.0,21.0,3.0,89.36404418945312,0.0,0.0,0.0,22.18600082397461,73.90239715576172,24.25533676147461,23.60220718383789,24.61503791809082,24.61503791809082,100.0,67.85997772216797,63.849117279052734,63.849117279052734,0.0,0.0
1.0,21.0,4.0,0.0,0.0,0.0,0.0,22.0,74.74317932128906,24.016971588134766,23.292163848876953,24.153810501098633,24.153812408447266,100.0,69.1387939453125,65.63387298583984,65.63387298583984,0.0,0.0
1.0,21.0,5.0,0.0,0.0,88.97721099853516,0.0,22.18600082397461,73.90239715576172,23.77821922302246,22.936758041381836,23.513927459716797,23.70580291748047,100.0,70.63880157470703,68.2060317993164,67.42208099365234,0.0,0.0
1.0,21.0,6.0,0.0,0.0,94.12814331054688,0.0,22.836999893188477,71.04257202148438,23.522504806518555,22.633230209350586,23.1025390625,23.369518280029297,100.0,71.9490966796875,69.91970825195312,68.80084991455078,0.0,0.0
1.0,21.0,7.0,0.0,0.0,160.4062042236328,0.0,24.417999267578125,64.60233306884766,23.34971046447754,22.457168579101562,22.94308853149414,23.125221252441406,100.0,72.72205352783203,70.59769439697266,69.82384490966797,0.0,0.0
1.0,21.0,8.0,0.0,0.0,153.2999267578125,0.0,26.184999465942383,58.17129135131836,23.2166748046875,22.33194351196289,22.836742401123047,22.931058883666992,100.0,73.27802276611328,71.05583190917969,70.65096282958984,0.0,0.0
1.0,21.0,9.0,0.0,0.0,142.48178100585938,0.0,27.766000747680664,53.02472686767578,23.128877639770508,22.260204315185547,22.754175186157227,22.794086456298828,100.0,73.59979248046875,71.41632843017578,71.24369812011719,0.0,0.0
1.0,21.0,10.0,0.0,0.0,132.1551055908203,0.0,29.160999298095703,48.90790557861328,23.07657814025879,22.22495460510254,22.698627471923828,22.703754425048828,100.0,73.75997161865234,71.66285705566406,71.64057159423828,0.0,0.0
1.0,21.0,11.0,0.0,0.0,123.02452850341797,0.0,30.090999603271484,46.36429214477539,23.046911239624023,22.209230422973633,22.663429260253906,22.643775939941406,100.0,73.83331298828125,71.82244110107422,71.90815734863281,0.0,0.0
1.0,21.0,12.0,0.0,0.0,115.21260833740234,0.0,30.834999084472656,44.436912536621094,23.03399658203125,22.206663131713867,22.644296646118164,22.606807708740234,100.0,73.8479232788086,71.91255187988281,72.07640075683594,0.0,0.0
1.0,21.0,13.0,0.0,0.0,108.66472625732422,0.0,31.299999237060547,43.27839279174805,23.030742645263672,22.209861755371094,22.63388442993164,22.583829879760742,100.0,73.8367919921875,71.96456146240234,72.18359375,0.0,0.0
