month,day_of_month,hour,lozaradiante_zonanorth_heating_rate,lozaradiante_zonasouth_heating_rate,lozaradiante_zonaeast_heating_rate,lozaradiante_zonawest_heating_rate,outdoor_temperature,outdoor_humidity,north_perimeter_air_temperature,south_perimeter_air_temperature,east_perimeter_air_temperature,west_perimeter_air_temperature,north_perimeter_air_humidity,south_perimeter_air_humidity,east_perimeter_air_humidity,west_perimeter_air_humidity,heat_pump_power,total_electricity_HVAC
1.0,21.0,0.0,5493.65673828125,5641.453125,3643.22900390625,3643.237060546875,23.115999221801758,69.85529327392578,24.887374877929688,24.209272384643555,25.475683212280273,25.475679397583008,100.0,65.43475341796875,60.66847610473633,60.668495178222656,1436.197021484375,5170309.5
1.0,21.0,1.0,0.0,0.0,0.0,0.0,22.743999481201172,71.44336700439453,24.791364669799805,24.10924530029297,25.356721878051758,25.356719970703125,100.0,65.82649230957031,61.09483337402344,61.09484100341797,0.0,0.0
1.0,21.0,2.0,982.2896118164062,0.0,0.0,0.0,22.46500015258789,72.66118621826172,24.617631912231445,23.88229751586914,25.082551956176758,25.082550048828125,100.0,66.72783660888672,62.09597396850586,62.095977783203125,0.0,0.0
1.0,21.0,3.0,89.36404418945312,0.0,0.0,0.0,22.18600082397461,73.90239715576172,24.25533676147461,23.60220718383789,24.61503791809082,24.61503791809082,100.0,67.85997772216797,63.849117279052734,63.849117279052734,0.0,0.0
1.0,21.0,4.0,0.0,0.0,0.0,0.0,22.0,74.74317932128906,24.016971588134766,23.292163848876953,24.153810501098633,24.153812408447266,100.0,69.1387939453125,65.63387298583984,65.63387298583984,0.0,0.0
1.0,21.0,5.0,0.0,0.0,0.0,0.0,22.18600082397461,73.90239715576172,23.7830810546875,22.945547103881836,23.705801010131836,23.70580291748047,100.0,70.60121154785156,67.42208862304688,67.42208099365234,0.0,0.0
1.0,21.0,6.0,0.0,0.0,0.0,0.0,22.836999893188477,71.04257202148438,23.56109046936035,22.68549156188965,23.356782913208008,23.35678482055664,100.0,71.72125244140625,68.853759765625,68.853759765625,0.0,0.0
1.0,21.0,7.0,0.0,0.0,0.0,0.0,24.417999267578125,64.60233306884766,23.406755447387695,22.52614974975586,23.134065628051758,23.134065628051758,100.0,72.41785430908203,69.78651428222656,69.78651428222656,0.0,0.0
1.0,21.0,8.0,0.0,0.0,380.75408935546875,0.0,26.184999465942383,58.17129135131836,23.28238296508789,22.40520668029785,22.948284149169922,22.95622444152832,100.0,72.95220947265625,70.57730865478516,70.54338073730469,0.0,0.0
1.0,21.0,9.0,0.0,0.0,143.0159454345703,0.0,27.766000747680664,53.02472686767578,23.183164596557617,22.31857681274414,22.83386993408203,22.829158782958984,100.0,73.33877563476562,71.07209777832031,71.09239959716797,0.0,0.0
1.0,21.0,10.0,0.0,0.0,136.34469604492188,0.0,29.160999298095703,48.90790557861328,23.118488311767578,22.27824592590332,22.760080337524414,22.737850189208984,100.0,73.52104949951172,71.39623260498047,71.4925537109375,0.0,0.0
1.0,21.0,11.0,0.0,0.0,124.59932708740234,0.0,30.090999603271484,46.36429214477539,23.080318450927734,22.254547119140625,22.712520599365234,22.674209594726562,100.0,73.62986755371094,71.60882568359375,71.77547454833984,0.0,0.0
1.0,21.0,12.0,0.0,0.0,116.39800262451172,0.0,30.834999084472656,44.436912536621094,23.061840057373047,22.243825912475586,22.684770584106445,22.633838653564453,100.0,73.6810073852539,71.73613739013672,71.95822143554688,0.0,0.0
1.0,21.0,13.0,0.0,0.0,109.64674377441406,0.0,31.299999237060547,43.27839279174805,23.054285049438477,22.238117218017578,22.66798973083496,22.60761070251465,100.0,73.7098617553711,71.81575775146484,72.07943725585938,0.0,0.0
